"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
EW12-017,https://projects.sare.org/sare_project/EW12-017,"Training Manuals and Professional Development Activities  for Teaching Organic Farming and Marketing","98,782.00",Western,"Professional Development Program",CA,2012,
EW12-036,https://projects.sare.org/sare_project/EW12-036,"Training toward Transition of Subsistence Farmers to the Market Economy","60,000.00",Western,"Professional Development Program",FM,2012,
EW98-012,https://projects.sare.org/sare_project/EW98-012,"Covering New Ground: Tropical Cover Crops for Improving Soil Quality","84,500.00",Western,"Professional Development Program",HI,1998,
FNC00-315,https://projects.sare.org/sare_project/FNC00-315,"Increasing Production in Native Stands of Pawpaws","4,999.00","North Central",Farmer/Rancher,OH,2000,
FNC00-316,https://projects.sare.org/sare_project/FNC00-316,"Best Cultivation Practices for At-Risk Medicinal Herbs","11,138.00","North Central",Farmer/Rancher,OH,2000,
FNC00-318,https://projects.sare.org/sare_project/FNC00-318,"Low Input, Energy Efficient Greenhouse Construction Workshop Suitable for Northeastern Ohio","4,635.00","North Central",Farmer/Rancher,OH,2000,
FNC00-320,https://projects.sare.org/sare_project/FNC00-320,"Sheep and Lamb Leather Marketing","4,700.00","North Central",Farmer/Rancher,IA,2000,
FNC01-356,https://projects.sare.org/sare_project/FNC01-356,"Organic Dairy","11,700.00","North Central",Farmer/Rancher,MI,2001,
FNC01-375,https://projects.sare.org/sare_project/FNC01-375,"Re-Introduction of Flax as a Viable Economic and Rotational Crop in an Organic System (Phase II)","2,063.00","North Central",Farmer/Rancher,IL,2001,
FNC02-398,https://projects.sare.org/sare_project/FNC02-398,"Increase Forage Production and Reduce Soil Erosion Through Rotational Grazing","5,340.00","North Central",Farmer/Rancher,MO,2002,
FNC03-440,https://projects.sare.org/sare_project/FNC03-440,"Designing My Path into Sustainable Organic Farming","5,448.00","North Central",Farmer/Rancher,MI,2003,
FNC03-449,https://projects.sare.org/sare_project/FNC03-449,"Moveable High Tunnel","5,874.00","North Central",Farmer/Rancher,KS,2003,
FNC03-452,https://projects.sare.org/sare_project/FNC03-452,"Portable Poultry Eviscerating Unit","15,590.00","North Central",Farmer/Rancher,ND,2003,
FNC04-521,https://projects.sare.org/sare_project/FNC04-521,"Urban Gardening Project","5,995.00","North Central",Farmer/Rancher,NE,2004,
FNC05-568,https://projects.sare.org/sare_project/FNC05-568,"Innovative Field to Market Processes for Small Produce Farms","5,901.00","North Central",Farmer/Rancher,IN,2005,
FNC05-573,https://projects.sare.org/sare_project/FNC05-573,"Urban Agricultural Youth Program","5,965.00","North Central",Farmer/Rancher,MO,2005,
FNC06-642,https://projects.sare.org/sare_project/FNC06-642,"Improved Productivity in Winter Greenhouse","1,565.00","North Central",Farmer/Rancher,MN,2006,
FNC07-646,https://projects.sare.org/sare_project/FNC07-646,"Grapevine Bird Damage Control","6,000.00","North Central",Farmer/Rancher,KS,2007,
FNC07-658,https://projects.sare.org/sare_project/FNC07-658,"Ranging Poultry on Temporary Pasture - An Integrated Poultry and Vegetable System","3,720.00","North Central",Farmer/Rancher,MI,2007,
FNC07-663,https://projects.sare.org/sare_project/FNC07-663,"Growing Highly Nutritious Staple Food Crops Using Intensive and Sustainable Agriculture Systems","5,730.00","North Central",Farmer/Rancher,OH,2007,
FNC07-668,https://projects.sare.org/sare_project/FNC07-668,"Growing and Marketing for a Winter CSA in Central Missouri","5,587.50","North Central",Farmer/Rancher,MO,2007,
FNC08-711,https://projects.sare.org/sare_project/FNC08-711,"Winter Production of Pastured Broilers Using A Portable Hoophouse and Winter Annual Pastures","6,000.00","North Central",Farmer/Rancher,MO,2008,
FNC08-727,https://projects.sare.org/sare_project/FNC08-727,"Indoor cultivation of mushrooms to diversify farm and test local markets","3,699.10","North Central",Farmer/Rancher,MN,2008,
FNC09-758,https://projects.sare.org/sare_project/FNC09-758,"Comparing the pasture restoration potential and financial viability of Cornish Cross vs. Red Broilers, in combination with heritage pastured hogs, for a small pastured poultry operation in NE Minnesota","3,867.00","North Central",Farmer/Rancher,MN,2009,
FNC09-789,https://projects.sare.org/sare_project/FNC09-789,"Promoting the availability, growing, and processing of healthy, locally produced food using low cost, low tech equipment","5,340.00","North Central",Farmer/Rancher,OH,2009,
FNC10-825,https://projects.sare.org/sare_project/FNC10-825,"Adding Value to Vegetables Through Live Fermentation.","6,000.00","North Central",Farmer/Rancher,OH,2010,
FNC10-829,https://projects.sare.org/sare_project/FNC10-829,"Economic feasibility of using wood chip mulching to address the combined vineyard issues of 1) low organic matter, 2) weed control, and 3) irrigation costs","5,880.00","North Central",Farmer/Rancher,KS,2010,
FNC10-838,https://projects.sare.org/sare_project/FNC10-838,"Control of Buckthorn with Hogs, Cutting Feed Costs with Food Waste","5,979.08","North Central",Farmer/Rancher,MN,2010,
FNC12-845,https://projects.sare.org/sare_project/FNC12-845,"Teaching Pastured Poultry Producers On-Farm Processing Best Management Practices for a Safer Product","4,877.00","North Central",Farmer/Rancher,MO,2012,
FNC12-861,https://projects.sare.org/sare_project/FNC12-861,"Economic Evaluation of Aquaponics","7,475.22","North Central",Farmer/Rancher,IA,2012,
FNC12-862,https://projects.sare.org/sare_project/FNC12-862,"Growing, Processing and Selling Organic Grape Vinegar and Verjus","7,391.00","North Central",Farmer/Rancher,SD,2012,"Three Heart Farm"
FNC12-879,https://projects.sare.org/sare_project/FNC12-879,"Maypops, a New Fruit Crop in Wisconsin","7,246.00","North Central",Farmer/Rancher,WI,2012,
FNC12-880,https://projects.sare.org/sare_project/FNC12-880,"Alternative Feeds for Mid- to Large-size Pasture Raised Layer Operations","7,203.00","North Central",Farmer/Rancher,IN,2012,
FNC12-891,https://projects.sare.org/sare_project/FNC12-891,"Nutrition Enhancement of Produce Grown with a Micronutrient Mineral and Trace Element Supplement","1,264.00","North Central",Farmer/Rancher,MO,2012,
FNC13-899,https://projects.sare.org/sare_project/FNC13-899,"Development of a Cooperative Food Distribution Model for Small Farms","22,500.00","North Central",Farmer/Rancher,OH,2013,
FNC13-907,https://projects.sare.org/sare_project/FNC13-907,"Pest Control in Cucurbits Using Paper Mulch and Intercropping","7,500.00","North Central",Farmer/Rancher,IA,2013,
FNC13-930,https://projects.sare.org/sare_project/FNC13-930,"Developing Vertically Integrated Edible Bio-systems in a USDA Hardiness Zone 5 Environment","6,923.00","North Central",Farmer/Rancher,IL,2013,
FNC13-931,https://projects.sare.org/sare_project/FNC13-931,"Comparison of Annual Forages for Grazing Lambs on Previously-Cropped Ground","7,496.10","North Central",Farmer/Rancher,MO,2013,
FNC14-946,https://projects.sare.org/sare_project/FNC14-946,"Chestnut Harvest Burr Management","7,390.00","North Central",Farmer/Rancher,MI,2014,
FNC14-959,https://projects.sare.org/sare_project/FNC14-959,"Growing Mushrooms on Local Agricultural Byproducts","11,319.00","North Central",Farmer/Rancher,KS,2014,
FNC14-963,https://projects.sare.org/sare_project/FNC14-963,"The Economic Analysis of Cover Crops, Soil Health, the role of Livestock and Impact on Moisture","22,378.00","North Central",Farmer/Rancher,NE,2014,
FNC14-973,https://projects.sare.org/sare_project/FNC14-973,"Cover Crop-based Reduced Tillage for Fall Production of Cabbage, Cauliflower and Broccoli Using a Roller-Crimper and No-Till Planting Aid","7,480.00","North Central",Farmer/Rancher,MO,2014,
FNC15-1021,https://projects.sare.org/sare_project/FNC15-1021,"Comparison of Shiitake yield on Red Maple (Acer rubrum) on timing of cut and rate of wood moisture loss prior to inoculation","14,791.00","North Central",Farmer/Rancher,WI,2015,"Misty Dawn Farm LLC"
FNC15-998,https://projects.sare.org/sare_project/FNC15-998,"Increasing Value-Added Product Sales through Improved Labeling - Packaging","5,371.00","North Central",Farmer/Rancher,WI,2015,"Inn Serendipity Farm"
FNC92-010,https://projects.sare.org/sare_project/FNC92-010,"Evaluation of Forages in Rotational Grazing System for Dairy","2,311.00","North Central",Farmer/Rancher,WI,1992,
FNC92-026,https://projects.sare.org/sare_project/FNC92-026,"Evolution of Rotary Spader as Primary Tillage Tool in Various Soils","2,430.00","North Central",Farmer/Rancher,OH,1992,"The Lake-Geauga CSA Project"
FNC94-081,https://projects.sare.org/sare_project/FNC94-081,"Pasture-Raised Poultry and Hogs","1,736.00","North Central",Farmer/Rancher,MO,1994,
FNC96-131,https://projects.sare.org/sare_project/FNC96-131,"Comparison of Finishing Pig Performance in a Hoophouse Building vs. a Conventional, Slatted, Curtain-Side Building","1,775.00","North Central",Farmer/Rancher,IA,1996,
FNC96-139,https://projects.sare.org/sare_project/FNC96-139,"Permaculture Greenhouse System: Integrating Greenhouse and Poultry Production","5,000.00","North Central",Farmer/Rancher,MI,1996,
FNC96-144,https://projects.sare.org/sare_project/FNC96-144,"Finishing Beef Calves on Legume Pasture","2,504.00","North Central",Farmer/Rancher,SD,1996,
FNC96-162,https://projects.sare.org/sare_project/FNC96-162,"Sustainable Mushroom Cultivation in the North for Disabled Growers","4,055.00","North Central",Farmer/Rancher,WI,1996,
FNC97-190,https://projects.sare.org/sare_project/FNC97-190,"Diversifying a Small Crop Farm with Hogs, Poultry, Apples and Plums","1,536.00","North Central",Farmer/Rancher,MN,1997,
FNC98-204,https://projects.sare.org/sare_project/FNC98-204,"On-Farm Market for High Quality, Locally Grown Products and an Experience for School Children","4,490.00","North Central",Farmer/Rancher,MI,1998,
FNC99-256,https://projects.sare.org/sare_project/FNC99-256,"Year-Round Renewably Heated and Powered Greenhouse","4,997.00","North Central",Farmer/Rancher,MN,1999,
FNC99-272,https://projects.sare.org/sare_project/FNC99-272,"Comparing Various Organic Soil Amendments and Mulches","4,977.00","North Central",Farmer/Rancher,MO,1999,
FNC99-274,https://projects.sare.org/sare_project/FNC99-274,"Evaluating Sustainable Ag Products in Relationship to Cation Exchange Capacity and Base Saturation","5,000.00","North Central",Farmer/Rancher,OH,1999,
FNC99-286,https://projects.sare.org/sare_project/FNC99-286,"Lettuce Season Extension Trials","3,450.00","North Central",Farmer/Rancher,IN,1999,
FNE00-320,https://projects.sare.org/sare_project/FNE00-320,"Slow-release natural/organic fertilizers in nursery crop production, part II.",660.00,Northeast,Farmer/Rancher,PA,2000,
FNE01-359,https://projects.sare.org/sare_project/FNE01-359,"Design - Preparation of Raised Beds for Year-Round Vegetable Production in Urban Agriculture","4,214.00",Northeast,Farmer/Rancher,PA,2001,
FNE01-390,https://projects.sare.org/sare_project/FNE01-390,"Comparison of Green Manure Mixes in Relation to Nitrogen Immobilization - Release","3,450.00",Northeast,Farmer/Rancher,ME,2001,
FNE02-433,https://projects.sare.org/sare_project/FNE02-433,"Sustainable Practices for the Field Grown Perennial Cut Flower Grower","6,630.00",Northeast,Farmer/Rancher,MA,2002,
FNE03-468,https://projects.sare.org/sare_project/FNE03-468,"Organic Plug Production: Evaluating Growing Media, Fertilizer and Economic Feasibility","2,954.00",Northeast,Farmer/Rancher,VT,2003,
FNE03-499,https://projects.sare.org/sare_project/FNE03-499,"Sheep Pasture Improvement and Planting for Drought Resistance","2,522.00",Northeast,Farmer/Rancher,MA,2003,
FNE05-562,https://projects.sare.org/sare_project/FNE05-562,"A comparison of biodegradable mulches to black plastic mulch","2,577.00",Northeast,Farmer/Rancher,VT,2005,
FNE06-584,https://projects.sare.org/sare_project/FNE06-584,"Increasing production and promoting adoption of organic king oyster mushrooms","8,644.00",Northeast,Farmer/Rancher,NY,2006,
FNE07-604,https://projects.sare.org/sare_project/FNE07-604,"Determining cost-effectiveness of raising slow growing genotype broilers in three alternative housing systems","7,861.00",Northeast,Farmer/Rancher,CT,2007,
FNE09-664,https://projects.sare.org/sare_project/FNE09-664,"Spore Exclusion - A New Approach to Downy Mildew Prevention in Cucurbits","8,541.00",Northeast,Farmer/Rancher,NY,2009,
FNE09-673,https://projects.sare.org/sare_project/FNE09-673,"The effect of biochar applications on soil fertility and crop production on a small vegetable farm in the Northeast US","8,262.00",Northeast,Farmer/Rancher,ME,2009,
FNE10-697,https://projects.sare.org/sare_project/FNE10-697,"Production and Processing of Raw Bio-Mass for High Quality Bio-Fuel in the Catskill Region","15,000.00",Northeast,Farmer/Rancher,NY,2010,
FNE11-724,https://projects.sare.org/sare_project/FNE11-724,"Organic Brussels Sprouts in the Northeast: Variety, Pest Control and Storage Trials","6,134.00",Northeast,Farmer/Rancher,NY,2011,
FNE11-732,https://projects.sare.org/sare_project/FNE11-732,"Dynamic Attachment Frame System","14,900.00",Northeast,Farmer/Rancher,PA,2011,
FNE12-755,https://projects.sare.org/sare_project/FNE12-755,"Spore exclusion high tunnel","14,795.00",Northeast,Farmer/Rancher,NY,2012,
FNE12-757,https://projects.sare.org/sare_project/FNE12-757,"Precision cultivation","14,439.00",Northeast,Farmer/Rancher,NY,2012,
FNE12-758,https://projects.sare.org/sare_project/FNE12-758,"An investigation into the suitability of the Japanese paper pot transplanter to small-scale vegetable farms","5,066.00",Northeast,Farmer/Rancher,NY,2012,
FNE14-809,https://projects.sare.org/sare_project/FNE14-809,"Perennial globe artichokes wintered in low tunnels","4,680.00",Northeast,Farmer/Rancher,NH,2014,
FNE14-812,https://projects.sare.org/sare_project/FNE14-812,"Evaluation of apple and pear varieties for cold humid climates under certified organic management","14,828.00",Northeast,Farmer/Rancher,VT,2014,
FNE15-835,https://projects.sare.org/sare_project/FNE15-835,"Evaluating Malting Barley Production in New England Using a Winterkill Cover Crop Cocktail Combined With Flame Weeding and No Till Planting","14,936.00",Northeast,Farmer/Rancher,MA,2015,
FNE95-079,https://projects.sare.org/sare_project/FNE95-079,"Developing a Sustainable Approach to Hop Production in Northeast","5,970.00",Northeast,Farmer/Rancher,ME,1995,
FNE95-104,https://projects.sare.org/sare_project/FNE95-104,"Season Extension Through Annual Organic Strawberry Production - Fall Vegetable Production","4,705.00",Northeast,Farmer/Rancher,MD,1995,
FNE96-121,https://projects.sare.org/sare_project/FNE96-121,"Use of a Biological Filter in a Recirculating Aquaculture System","1,758.00",Northeast,Farmer/Rancher,NY,1996,
FNE96-129,https://projects.sare.org/sare_project/FNE96-129,"Pedal-Powered Tillage for a Small Community-Supported Farm (CSA)","2,400.00",Northeast,Farmer/Rancher,CT,1996,
FNE97-166,https://projects.sare.org/sare_project/FNE97-166,"Mechanical Cultivation and Fertility Workshops","3,450.00",Northeast,Farmer/Rancher,NY,1997,
FNE97-173,https://projects.sare.org/sare_project/FNE97-173,"Greenhouse Subsurface Pipe System to Convert Solar Energy to Soil Heat","4,475.00",Northeast,Farmer/Rancher,VT,1997,
FNE99-231,https://projects.sare.org/sare_project/FNE99-231,"Using Milkhouse Waste Water for Alternative Cash Crop","3,750.00",Northeast,Farmer/Rancher,VT,1999,
FNE99-267,https://projects.sare.org/sare_project/FNE99-267,"Amending Soils to Produce Blueberries in Maryland","1,523.00",Northeast,Farmer/Rancher,MD,1999,
FNE99-281,https://projects.sare.org/sare_project/FNE99-281,"Slow Release Natural/Organic Fertilizers in Nursery Crop Production","1,590.00",Northeast,Farmer/Rancher,PA,1999,
FNE99-283,https://projects.sare.org/sare_project/FNE99-283,"Sustainable Production of Specialty Cut Flowers through Improved Soil Structure","2,154.00",Northeast,Farmer/Rancher,WV,1999,
FNE99-286,https://projects.sare.org/sare_project/FNE99-286,"Integrated Forest Farming:  Medicinal Herb Cultivation, Mushroom Production, and Forest Restoration","7,995.00",Northeast,Farmer/Rancher,WV,1999,
FS01-139,https://projects.sare.org/sare_project/FS01-139,"Composted Yard Waste as a Replacement for Pine Bark Mulch in Blueberry Production","9,800.00",Southern,Farmer/Rancher,FL,2001,
FS08-224,https://projects.sare.org/sare_project/FS08-224,"Organic Strawberry Production: Extending the Season with Low Tunnels","10,000.00",Southern,Farmer/Rancher,AL,2008,
FS10-241,https://projects.sare.org/sare_project/FS10-241,"Sustainable Cultivation of Plant-derived Indigo for Diversification and On-farm Value-added Dye Pigment Production","9,871.00",Southern,Farmer/Rancher,TN,2010,
FS12-259,https://projects.sare.org/sare_project/FS12-259,"Black Soldier Flies as a Value-Adding Tool within Organic Farming Systems","10,000.00",Southern,Farmer/Rancher,GA,2012,
FS13-273,https://projects.sare.org/sare_project/FS13-273,"Identifying and Marketing Quality Open-Pollinated and Organic Cucurbit Seedstocks for Virginia","9,963.00",Southern,Farmer/Rancher,VA,2013,"Common Wealth Seed Growers"
FS99-098,https://projects.sare.org/sare_project/FS99-098,"Demonstrating the Benefits of Agroforestry Practices on Family Farms","6,704.00",Southern,Farmer/Rancher,PR,1999,
FW00-329,https://projects.sare.org/sare_project/FW00-329,"Paradox Valley Heirloom Foods and Native Seed Grow-Out","9,997.00",Western,Farmer/Rancher,CO,2000,
FW04-006,https://projects.sare.org/sare_project/FW04-006,"Agricultural Science Class: Principles of Ecological Food Production","7,441.00",Western,Farmer/Rancher,WA,2004,
FW06-042,https://projects.sare.org/sare_project/FW06-042,"Harvest Frequency, Yield and Economics of Summer Squash","4,730.00",Western,Farmer/Rancher,ID,2006,
FW13-149,https://projects.sare.org/sare_project/FW13-149,"Selection and Propagation of Bog Blueberry Plants for Alaskan Food Security","14,688.00",Western,Farmer/Rancher,AK,2013,
FW15-044,https://projects.sare.org/sare_project/FW15-044,"Cover Crops for Hop Production in Semi-arid Yakima Valley, Washington","15,144.00",Western,Farmer/Rancher,WA,2015,"Bleyhl Co-op"
GNC07-078,https://projects.sare.org/sare_project/GNC07-078,"Energy use and nutrient cycling in pig production systems","9,969.00","North Central","Graduate Student",IA,2007,"Iowa State University"
GNC08-101,https://projects.sare.org/sare_project/GNC08-101,"Soil fertility and weed management in long-term conventional and organic crop rotations","10,000.00","North Central","Graduate Student",NE,2008,"University of Nebraska-Lincoln"
GNC13-166,https://projects.sare.org/sare_project/GNC13-166,"Effects of Biochar on Soil Nutrient Retention and Microbial Communities in Vegetable Cropping Systems","9,367.00","North Central","Graduate Student",IA,2013,"Iowa State University"
GNE10-012,https://projects.sare.org/sare_project/GNE10-012,"Addressing Challenges of a Reduced Tillage Organic Vegetable System: In-row Weed Control and Fertility Management","8,949.00",Northeast,"Graduate Student",NY,2010,"Cornell University"
GNE13-060,https://projects.sare.org/sare_project/GNE13-060,"Soil health and soil management decision-making in the mid-Atlantic.","14,959.00",Northeast,"Graduate Student",PA,2013,"Pennsylvania State University"
GNE14-083,https://projects.sare.org/sare_project/GNE14-083,"Anaerobically digested dairy as a renewable substitution for peat in media for nursery production","14,856.00",Northeast,"Graduate Student",CT,2014,"University of Connecticut"
GNE15-102,https://projects.sare.org/sare_project/GNE15-102,"Dual purpose cover crops for grazing season extension, nematode management, and improved resiliency on dairy farms","15,000.00",Northeast,"Graduate Student",MA,2015,"University of Massachusetts Amherst"
GS04-035,https://projects.sare.org/sare_project/GS04-035,"Effects of Tillage, Rotation, and Organic Inputs on Soil Ecological Properties in Vegetable Crop Production Systems","9,998.00",Southern,"Graduate Student",NC,2004,NCSU
GS06-052,https://projects.sare.org/sare_project/GS06-052,"Testing Technologies for Affordable Bioshelters","9,914.00",Southern,"Graduate Student",NC,2006,"Appalachian State University"
GS10-095,https://projects.sare.org/sare_project/GS10-095,"Efficacy of entomopathogenic fungi in an integrated pest management plan for cucumber beetles in melons and pumpkins","8,154.00",Southern,"Graduate Student",TN,2010,"University of Tennessee"
GS13-126,https://projects.sare.org/sare_project/GS13-126,"Weeds, Nitrogen, and Yield: Measuring the Effectiveness of an Organic No-Till System","10,927.00",Southern,"Graduate Student",SC,2013,"Clemson University"
GS15-146,https://projects.sare.org/sare_project/GS15-146,"Investigating New Management Approaches for Picture-Winged Flies in Sweet Corn","7,432.00",Southern,"Graduate Student",FL,2015,"University of Florida"
GW06-017,https://projects.sare.org/sare_project/GW06-017,"Understanding N Fixation by Legume Cover Crops in Organic Vegetable Systems","10,000.00",Western,"Graduate Student",CA,2006,"University of California, Santa Cruz"
LNC02-205,https://projects.sare.org/sare_project/LNC02-205,"Soil Testing and Information for Organic Transition","49,042.00","North Central","Research and Education",IL,2002,
LNC03-225,https://projects.sare.org/sare_project/LNC03-225,"Microbial Processes Underlying the Natural Weed Suppressiveness of Soils","103,623.00","North Central","Research and Education",IN,2003,
LNC03-229,https://projects.sare.org/sare_project/LNC03-229,"Experiential Learning Opportunities for Graduate and Undergraduate Students","60,000.00","North Central","Research and Education",MN,2003,
LNC03-232,https://projects.sare.org/sare_project/LNC03-232,"""Livestock Your Way"" Series Publications: Producer Guides to Goal Setting and Management Options for Dairy and Poultry Enterprises in the Upper Midwest","73,500.00","North Central","Research and Education",MN,2003,
LNC04-239,https://projects.sare.org/sare_project/LNC04-239,"An Analysis of Environmental Management Approaches with Six Midwestern Dairy Farms:  Informing Progress Toward a Sustainable Agriculture","148,851.00","North Central","Research and Education",WI,2004,
LNC04-240,https://projects.sare.org/sare_project/LNC04-240,"Weed Management in Organic Conservation Tillage/No Tillage","146,314.00","North Central","Research and Education",OH,2004,
LNC04-251,https://projects.sare.org/sare_project/LNC04-251,"One year's seeding: a seedbank approach to sustainable weed management","149,903.00","North Central","Research and Education",MI,2004,
LNC06-274,https://projects.sare.org/sare_project/LNC06-274,"Domesticating Intermediate Wheatgrass for Sustainable Grain Production","134,765.00","North Central","Research and Education",KS,2006,
LNC07-288,https://projects.sare.org/sare_project/LNC07-288,"Growing Organics: Integrating Science, Farmer Indigenous Knowledge, and Experience in Expanding Organic Production in Ohio","140,415.75","North Central","Research and Education",OH,2007,
LNC08-307,https://projects.sare.org/sare_project/LNC08-307,"Diversity - The Continuing Face of Sustainable Agriculture","100,000.00","North Central","Research and Education",MI,2008,
LNC09-312,https://projects.sare.org/sare_project/LNC09-312,"Southwest North Dakota Soil Health Demonstration","175,000.00","North Central","Research and Education",ND,2009,
LNC88-011,https://projects.sare.org/sare_project/LNC88-011,"The Middle Border On-Farm Research and Information Network","75,000.00","North Central","Research and Education",MN,1988,
LNC92-045,https://projects.sare.org/sare_project/LNC92-045,"Midwest Alternative Agriculture Education Network","120,000.00","North Central","Research and Education",MN,1992,
LNE00-131,https://projects.sare.org/sare_project/LNE00-131,"Development and Evaluation of Management Alternatives for Root Knot Nematodes and Volunteer Potatoes","128,900.00",Northeast,"Research and Education",MD,2000,
LNE02-164,https://projects.sare.org/sare_project/LNE02-164,"Biological Control Practices for High-Tunnel Crop Production","125,314.00",Northeast,"Research and Education",PA,2002,
LNE02-165,https://projects.sare.org/sare_project/LNE02-165,"Marketing Ecologically Grown Produce in the Mainstream Marketplace","150,000.00",Northeast,"Research and Education",MA,2002,
LNE03-184,https://projects.sare.org/sare_project/LNE03-184,"Integrated learning courses for sustainable livestock production","123,216.00",Northeast,"Research and Education",VT,2003,
LNE03-186,https://projects.sare.org/sare_project/LNE03-186,"Seed Growers' Handbook: Producing Vegetable Seeds for Sustainable Agriculture","62,925.00",Northeast,"Research and Education",VT,2003,
LNE03-191,https://projects.sare.org/sare_project/LNE03-191,"Youth voices in agriculture","49,007.00",Northeast,"Research and Education",PA,2003,
LNE04-207,https://projects.sare.org/sare_project/LNE04-207,"Decision Enabling Data Collection and Management Project","100,081.00",Northeast,"Research and Education",WV,2004,
LNE05-221,https://projects.sare.org/sare_project/LNE05-221,"Mentoring small fresh produce farmers who want to increase farm revenue by selling value-added products through direct-market channels","65,000.00",Northeast,"Research and Education",DE,2005,
LNE05-231,https://projects.sare.org/sare_project/LNE05-231,"Increased profits for sustainably produced garlic","65,000.00",Northeast,"Research and Education",NY,2005,
LNE08-268,https://projects.sare.org/sare_project/LNE08-268,"Increasing Cropping System Sustainability through the Adoption of Cover Crop and Rotational No-Till Strategies","144,815.00",Northeast,"Research and Education",PA,2008,
LNE09-283,https://projects.sare.org/sare_project/LNE09-283,"Integrated learning courses for organic and sustainable vegetable production","158,961.00",Northeast,"Research and Education",VT,2009,
LNE09-284,https://projects.sare.org/sare_project/LNE09-284,"Outreach, training, and education for small-scale poultry producers using MPPUs in Massachusetts","142,072.00",Northeast,"Research and Education",MA,2009,
LNE10-292,https://projects.sare.org/sare_project/LNE10-292,"Improving the yield and quality of sweet potatoes grown in New York","32,666.00",Northeast,"Research and Education",NY,2010,
LNE13-323,https://projects.sare.org/sare_project/LNE13-323,"Forage-based approaches for improving profitability and ecosystem services of dairy farms in New Hampshire and Pennsylvania","199,927.00",Northeast,"Research and Education",NH,2013,
LNE99-115,https://projects.sare.org/sare_project/LNE99-115,"Retention of High Levels of Crop Residue on Soil Surface During Tillage","98,518.00",Northeast,"Research and Education",NY,1999,
LS01-128,https://projects.sare.org/sare_project/LS01-128,"Influence of microbial species and functional diversity in soils on pathogen dispersal and ecosystem processes in organic and conventional agroecosystems","167,842.00",Southern,"Research and Education",NC,2001,
LS02-142,https://projects.sare.org/sare_project/LS02-142,"Defining the Research Needs of Farmers in Organic Horticultural Production in the Southeast","21,080.00",Southern,"Research and Education",GA,2002,
LS95-069,https://projects.sare.org/sare_project/LS95-069,"Managing Soil Phosphorous Accumulation From Poultry Litter Application Through Vegetable/Legume Rotations","135,000.00",Southern,"Research and Education",TX,1995,
LS98-097,https://projects.sare.org/sare_project/LS98-097,"Introducing Alternative Crops Into Traditional Cotton-Grain Farming to Aid Transition To ""Freedom to Farm"" Agriculture","114,279.00",Southern,"Research and Education",TX,1998,
ONE03-005,https://projects.sare.org/sare_project/ONE03-005,"Farmer educators for a pilot grazing demonstration project in Vermont","8,000.00",Northeast,"On Farm Research/Partnership",VT,2003,
ONE03-014,https://projects.sare.org/sare_project/ONE03-014,"Developing successful direct marketing strategies for agricultural producers in Washington County","9,997.00",Northeast,"On Farm Research/Partnership",NY,2003,
ONE06-053,https://projects.sare.org/sare_project/ONE06-053,"Digester performance tracking, analysis, and lessons learned review at Freund’s Farm,","9,979.00",Northeast,"On Farm Research/Partnership",NY,2006,
ONE06-059,https://projects.sare.org/sare_project/ONE06-059,"Troubleshooting concerns associated with direct long cut vacuum grass silage","7,572.00",Northeast,"On Farm Research/Partnership",MA,2006,
ONE09-101,https://projects.sare.org/sare_project/ONE09-101,"Winter Sprouting Broccoli as an Alternative Tunnel Crop in New England","9,981.00",Northeast,"On Farm Research/Partnership",NH,2009,
ONE11-145,https://projects.sare.org/sare_project/ONE11-145,"Development of Marketing Channel Assessment Tool for Livestock Producers","12,162.00",Northeast,"On Farm Research/Partnership",NY,2011,
ONE12-156,https://projects.sare.org/sare_project/ONE12-156,"Integrating ground cover crops and new herbicide strategies, conventional and organic, for tree growth and soil health-part II","14,995.00",Northeast,"On Farm Research/Partnership",NY,2012,
ONE12-162,https://projects.sare.org/sare_project/ONE12-162,"Developing a practical guide to using the CSNT and ISNT for improved nitrogen balances on dairy farms","15,000.00",Northeast,"On Farm Research/Partnership",NY,2012,
ONE12-169,https://projects.sare.org/sare_project/ONE12-169,"Evaluating flowering plant selection for pollinator habitat enhancement: Open-pollinated natives vs. native cultivars","14,850.00",Northeast,"On Farm Research/Partnership",VT,2012,
ONE14-197,https://projects.sare.org/sare_project/ONE14-197,"No-tilling grazing Brassicas into existing pastures: Remediation of sward and soil health for pastures","14,470.00",Northeast,"On Farm Research/Partnership",NY,2014,
ONE14-204,https://projects.sare.org/sare_project/ONE14-204,"Hancock County Gleaning Initiative","14,850.00",Northeast,"On Farm Research/Partnership",ME,2014,
ONE15-237,https://projects.sare.org/sare_project/ONE15-237,"Optimizing management of a new invasive species, swede midge, on small-scale organic farms","14,994.00",Northeast,"On Farm Research/Partnership",NY,2015,"Cornell Cooperative Extension Vegetable Program"
ONE15-251,https://projects.sare.org/sare_project/ONE15-251,"Priming for production: A podcast on soil health","14,818.00",Northeast,"On Farm Research/Partnership",MD,2015,"University of Maryland"
OS13-075,https://projects.sare.org/sare_project/OS13-075,"Large Scale Recycling of Used Potting Media with Solarization","3,161.00",Southern,"On Farm Research/Partnership",FL,2013,
